,group,prod
261,control,3.44
168,intervention,3.26
498,control,4.26
447,control,4.53
64,intervention,5.92
93,intervention,3.5
345,control,4.69
226,intervention,4.89
368,control,3.66
479,control,2.41
500,control,3.11
305,control,3.98
424,control,3.4
410,control,4.75
177,intervention,5.66
51,intervention,3.46
110,intervention,5.33
164,intervention,4.38
291,control,4.55
29,intervention,2.84
173,intervention,6.07
201,intervention,2.97
38,intervention,3.12
171,intervention,4.54
67,intervention,4.18
167,intervention,4.52
362,control,3.68
456,control,5.83
232,intervention,3.31
134,intervention,2.56
271,control,4.46
121,intervention,4.19
439,control,3.68
104,intervention,2.94
445,control,6.33
361,control,4.03
340,control,3.83
36,intervention,5.09
37,intervention,4.04
170,intervention,4.53
390,control,3.25
416,control,3.83
459,control,3.57
27,intervention,5.54
270,control,3.79
76,intervention,2.44
241,intervention,3.79
434,control,4.77
289,control,3.94
285,control,3.74
251,control,4.4
105,intervention,3.6
91,intervention,6.14
492,control,3.68
132,intervention,5.18
441,control,4.21
148,intervention,4.08
487,control,3.43
286,control,3.6
440,control,3.55
460,control,4.18
276,control,4.65
6,intervention,5.44
399,control,3.17
165,intervention,3.9
265,control,4.93
339,control,3.35
137,intervention,5.6
262,control,4.58
123,intervention,4.57
1,intervention,3.94
39,intervention,5.06
465,control,3.23
451,control,2.19
46,intervention,5.17
217,intervention,2.63
147,intervention,4.34
205,intervention,4.47
21,intervention,4.32
60,intervention,4.44
40,intervention,5.81
85,intervention,3.91
68,intervention,7.35
476,control,3.26
5,intervention,5.94
357,control,4.74
186,intervention,4.42
253,control,5.01
478,control,3.21
298,control,3.65
379,control,2.52
9,intervention,5.05
244,intervention,4.34
290,control,4.27
182,intervention,4.99
30,intervention,2.49
203,intervention,2.87
384,control,3.3
472,control,5.46
215,intervention,4.11
341,control,3.25
280,control,3.61
433,control,6.25
197,intervention,2.4
484,control,2.66
263,control,4.14
464,control,1.54
489,control,6.3
72,intervention,3.85
234,intervention,1.96
224,intervention,4.35
374,control,2.93
98,intervention,4.27
338,control,5.22
313,control,4.38
308,control,5.15
429,control,3.42
57,intervention,5.36
273,control,2
387,control,5.98
272,control,4.63
329,control,3.79
71,intervention,3.6
151,intervention,4.06
335,control,3.14
438,control,2.72
343,control,4.19
223,intervention,6.38
385,control,3.03
113,intervention,4.94
381,control,4.38
365,control,6.4
7,intervention,4.5
405,control,2.39
158,intervention,5.74
235,intervention,3.87
125,intervention,5.24
372,control,4.59
310,control,3.85
126,intervention,3.17
436,control,5.04
92,intervention,5.95
300,control,4.44
35,intervention,5.25
250,intervention,3.75
463,control,5.48
237,intervention,4.24
54,intervention,2.92
268,control,3.83
471,control,4.17
455,control,3.19
426,control,4.85
66,intervention,4.3
412,control,3.79
418,control,4.65
106,intervention,4.87
11,intervention,5.22
353,control,3.7
23,intervention,5.42
259,control,4.16
61,intervention,6.02
482,control,3.97
180,intervention,4.99
69,intervention,3.37
238,intervention,4.52
483,control,4.49
323,control,3.32
84,intervention,5.37
136,intervention,3.78
432,control,4.86
366,control,4.16
306,control,2.74
19,intervention,4.84
56,intervention,3.86
243,intervention,3.74
406,control,4.65
149,intervention,3.92
350,control,3.5
218,intervention,5.19
423,control,2.18
408,control,4.38
211,intervention,5.29
284,control,4.06
50,intervention,3.97
281,control,4.94
473,control,4.77
24,intervention,4.17
414,control,3.84
307,control,5.77
103,intervention,2.2
411,control,6.51
376,control,3.71
395,control,3.87
461,control,5.5
156,intervention,1.73
242,intervention,2.94
425,control,3.62
183,intervention,3.33
114,intervention,5.43
274,control,4.42
146,intervention,3.79
409,control,4.16
