"","count"
"1",1
"2",7
"3",3
"4",3
"5",2
"6",1
"7",2
"8",2
"9",2
"10",2
"11",0
"12",2
"13",1
"14",7
"15",1
"16",2
"17",5
"18",3
"19",1
"20",0
"21",4
"22",1
"23",2
"24",1
"25",5
"26",1
"27",3
"28",1
"29",5
"30",5
"31",1
"32",3
"33",1
"34",4
"35",2
"36",3
"37",1
"38",4
"39",1
"40",5
"41",3
"42",1
"43",6
"44",1
"45",1
"46",2
"47",1
"48",2
"49",3
"50",0
"51",2
"52",1
"53",0
"54",1
"55",6
"56",1
"57",2
"58",3
"59",3
"60",0
"61",4
"62",2
"63",4
"64",3
"65",2
"66",4
"67",5
"68",1
"69",1
"70",1
"71",2
"72",2
"73",2
"74",3
"75",5
"76",2
"77",1
"78",2
"79",1
"80",0
"81",2
"82",5
"83",1
"84",1
"85",2
"86",2
"87",5
"88",3
"89",6
"90",2
"91",4
"92",6
"93",6
"94",2
"95",3
"96",0
"97",3
"98",3
"99",0
"100",3
