"","sent","WC","rating","purchase"
"1",5,3,5,2
"2",10,1,6,4
"3",8,2,7,3
"4",6,4,6,3
"5",9,2,7,4
"6",10,3,5,4
"7",4,4,4,3
"8",12,3,8,4
"9",6,2,5,3
"10",4,2,3,1
"11",6,3,6,3
"12",10,3,7,4
"13",13,2,7,3
"14",8,2,7,4
"15",7,3,5,3
"16",2,4,4,1
"17",5,2,5,2
"18",7,4,6,4
"19",10,2,7,3
"20",5,2,5,3
"21",11,4,6,5
"22",7,2,6,4
"23",9,2,5,4
"24",5,1,6,2
"25",12,4,6,2
"26",9,4,6,3
"27",9,3,5,4
"28",8,4,5,4
"29",11,5,7,4
"30",9,2,6,4
"31",4,2,6,2
"32",4,1,5,3
"33",14,3,8,5
"34",12,3,6,2
"35",13,3,7,3
"36",7,5,6,2
"37",8,2,6,2
"38",6,2,6,3
"39",11,3,7,4
"40",11,1,6,4
"41",9,4,6,3
"42",7,3,5,3
"43",7,2,6,3
"44",10,4,6,3
"45",11,2,6,4
"46",10,3,6,5
"47",4,3,4,3
"48",15,3,8,5
"49",10,2,7,5
"50",7,3,7,4
"51",14,3,7,2
"52",13,5,8,4
"53",9,6,6,4
"54",9,3,6,3
"55",8,3,6,3
"56",7,4,4,3
"57",8,1,5,5
"58",6,2,5,4
"59",12,4,7,4
"60",9,4,7,4
"61",9,4,6,3
"62",13,4,7,3
"63",9,4,7,3
"64",10,3,7,3
"65",9,2,7,3
"66",8,3,7,3
"67",9,4,5,4
"68",9,3,6,4
"69",7,1,6,4
"70",8,2,5,5
"71",11,3,6,4
"72",7,3,5,5
"73",10,2,7,5
"74",8,3,6,3
"75",13,3,7,5
"76",6,3,6,2
"77",7,5,6,2
"78",8,3,6,4
"79",15,2,8,4
"80",10,4,6,3
"81",7,2,6,4
"82",10,3,6,2
"83",13,4,8,4
"84",6,3,4,2
"85",4,3,5,3
"86",6,3,5,3
"87",8,3,6,4
"88",8,3,5,3
"89",0,5,4,2
"90",6,2,4,3
"91",5,1,5,3
"92",8,3,5,4
"93",12,4,7,5
"94",11,2,7,4
"95",11,4,6,3
"96",8,3,7,2
"97",11,4,6,2
"98",14,4,7,4
"99",6,3,5,3
"100",8,3,5,4
"101",13,3,8,4
"102",13,4,5,5
"103",9,3,5,1
"104",13,3,8,3
"105",4,2,4,2
"106",14,5,7,5
"107",7,2,5,3
"108",11,4,7,3
"109",8,2,6,4
"110",9,4,6,3
"111",10,3,7,4
"112",11,4,7,4
"113",6,2,6,3
"114",12,3,6,4
"115",5,4,5,1
"116",12,4,6,5
"117",9,4,6,3
"118",11,4,7,3
"119",10,4,6,4
"120",8,2,5,3
"121",13,2,8,4
"122",8,4,7,4
"123",7,3,5,3
"124",6,4,5,3
"125",13,3,8,3
"126",6,1,7,3
"127",6,2,5,3
"128",9,2,5,5
"129",5,4,5,3
"130",13,3,7,4
"131",18,5,8,4
"132",13,4,6,4
"133",10,3,7,3
"134",10,3,7,5
"135",4,3,5,2
"136",5,2,5,2
"137",8,4,6,3
"138",8,3,6,3
"139",6,2,6,1
"140",9,3,6,5
"141",11,2,6,4
"142",8,2,6,4
"143",10,2,7,4
"144",8,3,5,4
"145",1,2,4,2
"146",8,4,6,3
"147",10,1,6,4
"148",14,5,7,5
"149",11,3,4,5
"150",9,3,5,4
"151",10,4,6,4
"152",5,2,4,3
"153",6,3,6,3
"154",11,4,6,6
"155",9,3,7,3
"156",10,3,5,4
"157",14,3,7,5
"158",8,2,6,3
"159",11,4,6,3
"160",9,2,7,4
"161",10,3,6,4
"162",9,2,7,1
"163",11,2,7,4
"164",11,2,7,3
"165",9,3,6,5
"166",8,2,5,3
"167",10,2,6,4
"168",5,3,4,1
"169",13,4,7,4
"170",12,4,6,5
"171",6,2,6,4
"172",10,3,6,3
"173",7,2,5,4
"174",7,2,5,4
"175",7,2,5,4
"176",13,4,8,5
"177",11,5,8,6
"178",7,2,5,3
"179",6,3,5,3
"180",8,3,6,3
"181",9,3,6,4
"182",9,4,6,3
"183",6,3,5,2
"184",9,2,6,4
"185",6,4,4,2
"186",7,4,4,3
"187",6,1,6,5
"188",9,4,5,3
"189",5,2,4,2
"190",9,2,6,4
"191",5,0,6,5
"192",9,3,5,3
"193",7,2,6,3
"194",10,3,7,3
"195",8,3,6,3
"196",13,6,6,4
"197",5,2,5,3
"198",15,3,7,5
"199",8,2,7,3
"200",10,3,6,5
"201",11,3,6,3
"202",4,2,4,2
"203",9,3,6,5
"204",14,4,6,5
"205",11,3,5,5
"206",11,2,6,6
"207",8,4,6,3
"208",7,4,6,3
"209",9,3,7,2
"210",7,3,6,2
"211",14,2,7,5
"212",6,3,5,4
"213",5,1,5,2
"214",5,3,6,1
"215",10,4,7,5
"216",8,1,6,2
"217",10,2,7,4
"218",10,3,6,4
"219",5,2,6,2
"220",10,2,5,4
"221",9,3,6,4
"222",3,2,5,1
"223",6,3,6,3
"224",11,4,7,4
"225",9,1,6,5
"226",9,2,7,5
"227",11,5,6,5
"228",9,4,6,3
"229",7,3,6,3
"230",15,4,8,5
"231",8,4,6,2
"232",3,2,5,2
"233",9,3,5,5
"234",6,3,5,3
"235",10,3,7,3
"236",11,3,5,5
"237",9,2,6,4
"238",8,4,6,3
"239",7,4,6,2
"240",8,5,4,3
"241",9,2,6,4
"242",10,5,8,3
"243",4,2,5,2
"244",9,1,5,2
"245",12,4,6,4
"246",5,3,3,4
"247",6,3,5,3
"248",4,3,5,2
"249",11,3,7,4
"250",8,2,5,4
