"id","friendly","inviting","interesting","positive","pleasant","sex","logo"
3,9,8,9,10,9,"f","Logo A"
98,7,6,8,7,7,"f","Logo C"
73,5,3,6,6,6,"m","Logo C"
89,4,5,2,3,4,"f","Logo C"
13,8,7,9,8,6,"f","Logo A"
19,8,7,7,9,7,"m","Logo A"
42,9,8,10,8,8,"f","Logo B"
21,9,9,9,9,9,"f","Logo A"
86,5,5,4,6,5,"f","Logo C"
38,10,9,10,10,10,"f","Logo B"
25,10,10,10,10,10,"f","Logo A"
63,9,9,9,10,9,"f","Logo B"
9,7,6,7,8,7,"f","Logo A"
94,7,7,7,6,8,"m","Logo C"
69,7,7,7,5,8,"f","Logo C"
79,7,8,7,6,7,"m","Logo C"
22,8,6,10,6,8,"m","Logo A"
4,7,6,7,7,5,"m","Logo A"
87,9,7,10,10,9,"m","Logo C"
7,10,10,9,10,10,"m","Logo A"
36,7,9,5,5,6,"f","Logo B"
48,6,6,7,5,6,"f","Logo B"
93,9,10,8,9,9,"f","Logo C"
47,6,6,6,6,6,"m","Logo B"
16,8,8,8,9,8,"f","Logo A"
5,10,10,10,10,10,"f","Logo A"
97,7,6,7,8,5,"m","Logo C"
83,8,9,7,8,8,"f","Logo C"
34,7,6,5,5,7,"f",NA
41,10,9,10,10,9,"f","Logo B"
76,9,9,10,9,9,"f","Logo C"
62,10,9,10,10,10,"m","Logo B"
44,8,7,7,8,6,"f","Logo B"
82,6,6,5,5,5,"f","Logo C"
80,8,9,9,9,7,"f","Logo C"
26,9,8,10,6,8,"m","Logo A"
29,9,9,8,9,8,"m","Logo A"
81,6,5,5,6,7,"m","Logo C"
32,9,9,8,7,8,"f","Logo A"
8,9,9,10,8,10,"f","Logo A"
27,8,8,9,8,9,"f","Logo A"
54,10,10,10,10,10,"f","Logo B"
24,10,10,10,9,10,"f","Logo A"
78,7,5,6,6,9,"f","Logo C"
28,10,10,10,10,10,"f","Logo A"
92,7,7,7,8,7,"f","Logo C"
71,7,9,7,7,8,"m","Logo C"
46,10,10,10,10,10,"m","Logo B"
30,9,7,10,9,8,"f","Logo A"
77,8,8,7,8,7,"f","Logo C"
56,10,9,10,10,10,"m","Logo B"
90,7,8,7,7,6,"f","Logo C"
100,6,6,7,7,7,"f","Logo C"
11,10,10,10,10,10,"f","Logo A"
95,7,8,7,8,6,"m","Logo C"
99,5,4,6,7,5,"m","Logo C"
64,9,9,8,9,9,"f","Logo B"
37,10,10,10,10,10,"f","Logo B"
88,8,7,7,9,8,"m","Logo C"
6,10,10,10,10,10,"f","Logo A"
84,7,7,6,8,6,"f","Logo C"
53,9,9,9,8,9,"f","Logo B"
12,10,10,10,10,10,"f","Logo A"
33,9,10,8,9,10,"f","Logo A"
55,10,10,10,9,10,"f","Logo B"
45,9,9,9,10,7,"f","Logo B"
58,9,8,10,8,7,"f","Logo B"
14,8,9,7,9,8,"f","Logo A"
91,7,7,8,8,8,"f","Logo C"
70,7,8,5,7,9,"f","Logo C"
66,9,10,8,10,9,"m","Logo B"
85,7,7,7,7,7,"f","Logo C"
23,6,5,5,5,5,"f","Logo A"
96,8,9,9,10,7,"m","Logo C"
51,9,9,9,10,10,"f","Logo B"
68,9,9,9,10,8,"f","Logo C"
61,5,6,6,7,5,"f","Logo B"
57,8,9,7,7,8,"m","Logo B"
74,5,6,5,5,3,"f","Logo C"
52,7,8,4,4,7,"f","Logo B"
20,10,10,10,9,9,"f","Logo A"
15,8,8,9,7,10,"f","Logo A"
18,9,10,9,10,10,"f","Logo A"
60,6,6,7,6,7,"m","Logo B"
50,8,8,7,10,7,"f","Logo B"
75,7,7,8,8,6,"f","Logo C"
17,7,8,5,6,8,"m","Logo A"
39,10,10,10,10,10,"m","Logo B"
40,10,10,9,10,9,"f","Logo B"
31,10,10,10,10,10,"m","Logo A"
2,7,8,7,7,7,"f","Logo A"
59,10,10,10,10,10,"m","Logo B"
10,9,10,9,7,10,"f","Logo A"
49,7,5,6,7,8,"f","Logo B"
1,7,8,6,6,6,"m","Logo A"
67,6,5,8,5,4,"m","Logo C"
65,9,9,9,10,8,"m","Logo B"
72,8,9,8,8,8,"f","Logo C"
35,6,7,6,5,6,"m","Logo B"
43,9,9,9,10,10,"m","Logo B"
