symboling,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,log_price
3,alfa-romero,gas,std,two,hardtop_convert,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,three_four,130,mpfi,3.47,2.68,9.0,111,5000,21,27,13495,9.510074525452104
3,alfa-romero,gas,std,two,hardtop_convert,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,three_four,130,mpfi,3.47,2.68,9.0,111,5000,21,27,16500,9.711115659888671
1,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,five_six,152,mpfi,2.68,3.47,9.0,154,5000,19,26,16500,9.711115659888671
2,audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,three_four,109,mpfi,3.19,3.4,10.0,102,5500,24,30,13950,9.543234787249512
2,audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,five_six,136,mpfi,3.19,3.4,8.0,115,5500,18,22,17450,9.767094927630573
2,audi,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,five_six,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250,9.632334782035558
1,audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,five_six,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710,9.781884730776879
1,audi,gas,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,five_six,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920,9.847974842605868
1,audi,gas,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,five_six,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875,10.08058716534893
2,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,three_four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430,9.706864211031315
0,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,three_four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925,9.736547097780475
0,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,five_six,164,mpfi,3.31,3.19,9.0,121,4250,21,28,20970,9.950848123895966
