,0,1,2,3,4,5,6,7,8,val
0,X, , , , , , , , ,-0.19344523437499997
1, ,X, , , , , , , ,-0.17458432402343743
2, , ,X, , , , , , ,-0.10472561392176659
3, , , ,X, , , , , ,-0.10881292747965231
4, , , , ,X, , , , ,-0.10881127639992119
5, , , , , ,X, , , ,-0.19344523437460148
6, , , , , , ,X, , ,-0.10881285701657377
7, , , , , , , ,X, ,-0.17458432390888634
8, , , , , , , , ,X,-0.1746845574503533
9,O, , , , ,X, , , ,0.7777555502584952
10, ,O, , , ,X, , , ,0.6286884641615982
11, , ,O, , ,X, , , ,0.20564818289707176
12, , , ,O, ,X, , , ,0.21601400597451828
13, , , , ,O,X, , , ,0.22115641665679878
14, , , , , ,X,O, , ,0.4948028520619775
15, , , , , ,X, ,O, ,0.7687080377200726
16, , , , , ,X, , ,O,-0.2036265624995805
17,X,O, , , ,X, , , ,0.20362656249999997
18, ,O,X, , ,X, , , ,0.6554597387532165
19, ,O, ,X, ,X, , , ,-0.056915963164311384
20, ,O, , ,X,X, , , ,0.5478357884499561
21, ,O, , , ,X,X, , ,0.043100127170562726
22, ,O, , , ,X, ,X, ,-0.19284244903654926
23, ,O, , , ,X, , ,X,-0.5765080705022811
24,X,O, ,O,X,X, , , ,0.0
25, ,O,X,O,X,X, , , ,0.46243419397781954
26, ,O, ,O,X,X,X, , ,0.0648671875
27, ,O, ,O,X,X, ,X, ,0.0
28, ,O, ,O,X,X, , ,X,0.7572739973174277
29,O,O,X,O,X,X, , , ,0.4815191753920226
30, ,O,X,O,X,X,O, , ,0.48070039084726335
31, ,O,X,O,X,X, ,O, ,0.9443347277480061
32, ,O,X,O,X,X, , ,O,0.9481786562133465
33, ,O,X,O,X,X, ,O,X,0.9998660634323725
34, ,O, ,O,X,X, , , ,0.625763374122376
35,X, , , , ,X,O, , ,0.11747823510507449
36, ,X, , , ,X,O, , ,-0.5436572038951384
37, , ,X, , ,X,O, , ,-0.15367376838142877
38, , , ,X, ,X,O, , ,-0.7432865607959552
39, , , , ,X,X,O, , ,-0.25396166579268
40, , , , , ,X,O,X, ,-0.7084441237210436
41, , , , , ,X,O, ,X,0.520148806370477
42,O, , , , ,X,O,X, ,-0.7480177104431
43, ,O, , , ,X,O,X, ,0.3194582002100683
44, , ,O, , ,X,O,X, ,-0.10391309204101562
45, , , ,O, ,X,O,X, ,0.5987309912132052
46, , , , ,O,X,O,X, ,0.21432800383910527
47, , , , , ,X,O,X,O,0.5781670578563567
48,O,X, , , ,X,O,X, ,-0.8507714157104492
49,O, ,X, , ,X,O,X, ,-0.9012764252025633
50,O, , ,X, ,X,O,X, ,-0.7508684060460836
51,O, , , ,X,X,O,X, ,-0.7754253234863281
52,O, , , , ,X,O,X,X,-0.8323047542572021
53,O,O, , ,X,X,O,X, ,0.8231903076171875
54,O, ,O, ,X,X,O,X, ,0.4802561950683593
55,O, , ,O,X,X,O,X, ,-0.99976189054644
56,O, , , ,X,X,O,X,O,0.8548927307128906
57,O,X,O, ,X,X,O,X, ,0.9821820519864559
58,O, ,O,X,X,X,O,X, ,0.68359375
59,O, ,O, ,X,X,O,X,X,-0.6494140625
60,O,O,O, ,X,X,O,X,X,-0.86651611328125
61,O, ,O,O,X,X,O,X,X,-0.8998870849609375
62,X,X, , , , , , ,O,0.05270315949100516
63, ,X,X, , , , , ,O,0.8092428170418862
64, ,X, ,X, , , , ,O,-0.7066373802768706
65, ,X, , ,X, , , ,O,-0.11033082478236057
66, ,X, , , ,X, , ,O,-0.7832805932532189
67, ,X, , , , ,X, ,O,-0.07154260168592705
68, ,X, , , , , ,X,O,-0.5497719026399002
69,O,X,X, , , , , ,O,0.8513513379742587
70, ,X,X,O, , , , ,O,0.8494647840236875
71, ,X,X, ,O, , , ,O,0.9494651095773554
72, ,X,X, , ,O, , ,O,0.8659709531682065
73, ,X,X, , , ,O, ,O,0.8815834846081629
74, ,X,X, , , , ,O,O,0.9256978391009039
75,X,X,X, , ,O, , ,O,0.25
76, ,X,X,X, ,O, , ,O,0.8588471758114857
77, ,X,X, ,X,O, , ,O,0.8957159554965619
78, ,X,X, , ,O,X, ,O,0.39484375
79, ,X,X, , ,O, ,X,O,0.0648671875
80,O,X,X, , ,O, ,X,O,0.0
81, ,X,X,O, ,O, ,X,O,0.2375
82, ,X,X, ,O,O, ,X,O,0.5780249023437499
83, ,X,X, , ,O,O,X,O,0.6494140625
84,O,X,X, ,O,O,X,X,O,-0.9821820519864559
85, ,X,X,O,O,O,X,X,O,-0.4375
86, ,X,X, ,O,O,X,X,O,-0.724560546875
87, ,X, , , , , , ,O,0.724040126275826
88,X,O, , , , , ,X, ,0.3839361584791706
89, ,O,X, , , , ,X, ,-0.12588998578789898
90, ,O, ,X, , , ,X, ,-0.020659275935001914
91, ,O, , ,X, , ,X, ,-0.02016229844841117
92, ,O, , , , ,X,X, ,-0.060825991906349505
93, ,O, , , , , ,X,X,-0.0036250034106873525
94,O,O, , , ,X, ,X, ,0.6538211074777366
95, ,O,O, , ,X, ,X, ,0.5276766610527037
96, ,O, ,O, ,X, ,X, ,0.35944333103669934
97, ,O, , ,O,X, ,X, ,0.6300487835060562
98, ,O, , , ,X, ,X,O,0.2079700091102719
99,X,O, , ,O,X, ,X, ,1.544250014589709e-11
100, ,O,X, ,O,X, ,X, ,0.0
101, ,O, ,X,O,X, ,X, ,-0.6724309077262878
102, ,O, , ,O,X,X,X, ,0.00010515895994199505
103, ,O, , ,O,X, ,X,X,0.8997626204690199
104,X,O,X, ,O,X, ,X,O,0.0
